raw_id	condition	replicate	assay	mark_type
ENCFF534IPX	GM12878	1	H3K9ac	narrow
ENCFF193NPE	GM12878	2	H3K9ac	narrow
ENCFF110SOB	GM12878	1	input	
ENCFF919XCV	GM12878	2	input	
ENCFF164ALR	GM12878	1	H3K27me3	broad
ENCFF532DQH	GM12878	2	H3K27me3	broad
